section,LATITUDE,LONGITUDE,upper50mDOPstock,MeanDOPUpper50,iron stress,PStar,Chl a,PStar_250,Pstar_insitu,nFLH,region,comment
36N,36.6401,-70.2625,3.99855905,0.079971181,0.009109001,0.102981247,0.097795855,-0.015433927,0,3.23E-03,North Atlantic,
36N,36.7385,-70.5589,1.513779693,0.030275594,0.009271026,0.102981247,0.091128863,-0.015433927,0.1878125,3.43E-03,North Atlantic,
36N,36.8665,-70.8689,3.4898047,0.069796094,0.009623303,0.102981247,0.187679492,-0.015433927,0.154375,3.87E-03,North Atlantic,
36N,37.3226,-71.6791,4.0022487,0.080044974,0.011248885,0.1530625,0.369413689,0.02114376,0.138125,7.16E-03,North Atlantic,
36N,37.4429,-71.9513,0.5129887,0.010259774,0.011021141,0.1530625,0.40041706,0.02114376,0.06,8.11E-03,North Atlantic,
36N,36.0148,-74.8129,5.003332578,0.100066652,0.010363437,0.200518757,0.526329994,,0.1921875,1.29E-02,North Atlantic,
36N,35.9771,-74.7738,4.00080295,0.080016059,0.010415065,0.142543752,0.549926668,0.166607161,0.240625,1.29E-02,North Atlantic,
36N,35.6493,-74.2791,1.99767415,0.039953483,0.010813396,0.142543752,0.354182094,0.166607161,0.00125,6.08E-03,North Atlantic,
36N,35.597,-74.117,0.5122467,0.010244934,0.010700613,0.142543752,0.298584573,0.166607161,-0.019375,5.37E-03,North Atlantic,
36N,35.3618,-73.7694,1.256797559,0.025135951,0.010261602,0.130487505,0.08718574,0.111243744,0.016875,4.10E-03,North Atlantic,
36N,35.2951,-72.9348,0.9744453,0.019488906,0.00959059,0.113612499,0.117126783,0.051388387,0.00875,3.39E-03,North Atlantic,
36N,35.5656,-71.8587,1.48692515,0.029738503,0.009976682,0.096006256,0.107350465,0.006163393,0.003125,3.51E-03,North Atlantic,
36N,35.6994,-71.3292,2.51302135,0.050260427,0.009857441,0.096006256,0.099363323,0.006163393,-0.003125,3.40E-03,North Atlantic,
36N,36.1131,-69.6938,1.487454049,0.029749081,0.010622673,0.088199999,0.110849801,-0.032135706,-0.0028125,3.68E-03,North Atlantic,
36N,36.2469,-66.0857,1.729443999,0.03458888,0.010685489,0.056775004,0.130716689,-0.023977678,0.0053125,3.66E-03,North Atlantic,
36N,36.2643,-64.2296,2.743498438,0.054869969,0.011138861,0.040668748,0.140799332,-0.014447313,-0.001875,4.10E-03,North Atlantic,
36N,36.2616,-62.4064,2.51380385,0.050276077,0.011487642,0.033137497,0.124091908,-0.028197323,0.005,3.99E-03,North Atlantic,
36N,36.2424,-61.1642,2.51391455,0.050278291,0.01096431,0.028849997,0.103510812,-0.037062502,-0.00125,3.82E-03,North Atlantic,
36N,36.0976,-58.7126,2.74519885,0.054903977,0.011011345,0.028256249,0.118470933,-0.043766073,-0.001875,3.90E-03,North Atlantic,
36N,36.1682,-57.2539,2.514429916,0.050288598,0.012227348,0.028262503,0.162764199,-0.040540181,-0.014375,4.15E-03,North Atlantic,
36N,36.2441,-55.6084,0.974922402,0.019498448,0.012076505,0.022837497,0.169697426,-0.038863389,0.015625,4.18E-03,North Atlantic,
36N,36.4882,-52.2773,2.51447785,0.050289557,0.01261672,0.010949999,0.11744801,-0.036676788,0.0025,4.40E-03,North Atlantic,
36N,36.2437,-48.9668,1.4880987,0.029761974,0.012150876,0.029937502,0.138786159,-0.014370535,-0.00125,4.58E-03,North Atlantic,
36N,36.2645,-47.3102,2.51438755,0.050287751,0.011666567,0.034200002,0.143798262,-0.002471427,-0.018125,4.48E-03,North Atlantic,
36N,36.2508,-45.6552,3.00183556,0.060036711,0.012749495,0.043137498,0.187455244,0.024264287,0.014375,5.03E-03,North Atlantic,
36N,36.247,-42.5433,3.001318455,0.060026369,0.012344051,0.063956248,0.190974705,0.045926784,0.0025,4.93E-03,North Atlantic,
36N,36.249,-38.8635,3.232424376,0.064648488,0.012083737,0.062868748,0.145975407,0.019561602,-0.0040625,4.81E-03,North Atlantic,
36N,36.2492,-36.432,1.4876487,0.029752974,0.012046738,0.048893749,0.117404267,0.001403568,0.03,4.60E-03,North Atlantic,
36N,36.2516,-33.3682,2.257623391,0.045152468,0.012225039,0.050100002,0.084725954,0.008599113,-3.13E-04,4.60E-03,North Atlantic,
36N,36.2473,-31.5319,4.00124905,0.080024981,0.012283944,0.060593748,0.112404127,0.019629466,-0.00125,4.64E-03,North Atlantic,
36N,36.2483,-28.4851,2.97682185,0.059536437,0.012441911,0.064949997,0.099747792,0.023066068,0.03,4.81E-03,North Atlantic,
36N,36.2521,-26.651,2.9751918,0.059503836,0.012255549,0.069387499,0.104946617,0.027129466,0.00875,4.75E-03,North Atlantic,
36N,36.2478,-25.4195,2.51368105,0.050273621,0.012285746,0.059106249,0.100883346,0.048986601,0,4.81E-03,North Atlantic,
36N,36.2491,-22.9808,4.002427026,0.080048541,0.011701028,0.051074999,0.107059989,0.010941088,-0.0015625,4.23E-03,North Atlantic,
36N,36.249,-21.1515,4.51486905,0.090297381,0.0111875,0.044643749,0.109786078,-0.001076779,0,4.01E-03,North Atlantic,
